,apartment_type,district,agency,size,floor,year_built,station_distance,cost
11,3LDK APARTMENT,"IN DAIZAWA
SETAGAYA-KU, TOKYO",Tokyo Comfort Inc.,Size 149.35 m²,Floor 1 / 3F,Year Built 2005,Ikenoue Station (7 min. walk),"Monthly Costs ¥1,080,000 negotiable"
12,1R APARTMENT,"IN DOGENZAKA
SHIBUYA-KU, TOKYO",Fontana,Size 22.00 m²,Floor 5 / 10F,Year Built 1978,Shibuya Station (6 min. walk),"Monthly Costs ¥117,000"
13,1K APARTMENT,"IN NISHIMAGOME
OTA-KU, TOKYO","Yours Corporation Co.,Ltd.",Size 25.09 m²,Floor 2 / 8F,Year Built 2002,Nishimagome Station (3 min. walk),"Monthly Costs ¥87,000"
14,1R APARTMENT,"IN NOZAWA
SETAGAYA-KU, TOKYO",Fontana,Size 16.00 m²,Floor 2 / 2F,Year Built 1989,Sangenjaya Station (12 min. walk),"Monthly Costs ¥82,000"
15,1K APARTMENT,"IN TSUKUDOHACHIMANCHO
SHINJUKU-KU, TOKYO",Fontana,Size 29.00 m²,Floor 2 / 2F,Year Built 2015,Iidabashi Station (6 min. walk),"Monthly Costs ¥142,000"
16,1DK APARTMENT,"IN HONCHO
NAKANO-KU, TOKYO",Fontana,Size 33.00 m²,Floor 1 / 4F,Year Built 1973,Shinnakano Station (1 min. walk),"Monthly Costs ¥127,000"
17,1K APARTMENT,"IN KAITAICHO
SHINJUKU-KU, TOKYO",matsuri technologies,Size 18.55 m²,Floor 2 / 2F,Year Built 2010,Edogawabashi Station (2 min. walk),"Monthly Costs ¥124,500"
18,1K APARTMENT,"IN HIGASHINIHOMBASHI
CHUO-KU, TOKYO",matsuri technologies,Size 20.00 m²,Floor 2 / 10F,Year Built 2019,Bakurochou Station (4 min. walk),"Monthly Costs ¥160,500"
19,1K APARTMENT,"IN TOYOTAMAKITA
NERIMA-KU, TOKYO",Irodori Factory,Size 20.00 m²,Floor 2 / 4F,Year Built 1996,Shin Egota Station (12 min. walk),"Monthly Costs ¥78,000"
20,1DK APARTMENT,"IN SHINOGAWAMACHI
SHINJUKU-KU, TOKYO",NOW ROOM,Size 35.00 m²,Floor 5 / 5F,Year Built 2017,Iidabashi Station (3 min. walk),"Monthly Costs ¥228,409"
21,1R APARTMENT,"IN NISHISHINJUKU
SHINJUKU-KU, TOKYO",NOW ROOM,Size 16.00 m²,Floor 3 / 3F,Year Built 2016,Shinjuku Station (7 min. walk),"Monthly Costs ¥190,200"
22,1R APARTMENT,"IN TAKADANOBABA
SHINJUKU-KU, TOKYO",matsuri technologies,Size 19.68 m²,Floor 4 / 4F,Year Built 1990,Takadanobaba Station (6 min. walk),"Monthly Costs ¥121,500"
23,1R APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",ICHII CORPORATION,Size 27.56 m²,Floor 3 / 4F,Year Built 2007,Roppongi Station (2 min. walk),"Monthly Costs ¥138,000"
24,1R APARTMENT,"IN TAMAGAWADAI
SETAGAYA-KU, TOKYO","Yours Corporation Co.,Ltd.",Size 16.00 m²,Floor 3 / 4F,Year Built 1985,Youga Station (2 min. walk),"Monthly Costs ¥60,000"
25,1K APARTMENT,"IN HATAGAYA
SHIBUYA-KU, TOKYO",matsuri technologies,Size 28.20 m²,Floor 3 / 3F,Year Built 2019,Hatagaya Station (8 min. walk),"Monthly Costs ¥163,500"
26,1K APARTMENT,"IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO",PIPI Hosting,Size 24.00 m²,Floor 7 / 12F,Year Built 2018,Otsuka Station (5 min. walk),"Monthly Costs ¥130,000 negotiable"
27,1K APARTMENT,"IN AOTO
KATSUSHIKA-KU, TOKYO",Liberty Kameari Apartment,Size 20.00 m²,Floor 4 / 4F,Year Built 1976,Kameari Station (10 min. walk),"Monthly Costs ¥78,000"
28,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",ICHII CORPORATION,Size 23.66 m²,Floor 7 / 8F,Year Built 2007,Hatsudai Station (1 min. walk),"Monthly Costs ¥108,000"
29,SHARED GUESTHOUSE,"IN SHAKUJIIDAI
NERIMA-KU, TOKYO",Irodori Factory,Size 9.31 m²,Floor 1 / 2F,Year Built 2015,Oizumigakuen Station (12 min. walk),"Monthly Costs ¥57,000"
30,1LDK APARTMENT,"IN YOGA
SETAGAYA-KU, TOKYO","Yours Corporation Co.,Ltd.",Size 35.24 m²,Floor 3 / 3F,Year Built 1988,Youga Station (6 min. walk),"Monthly Costs ¥110,000"
31,1LDK APARTMENT,"IN SAKURAGAOKACHO
SHIBUYA-KU, TOKYO",PIPI Hosting,Size 45.00 m²,Floor 2 / 5F,Year Built 1977,Shibuya Station (5 min. walk),"Monthly Costs ¥310,000 negotiable"
32,1LDK APARTMENT,"IN KANDASARUGAKUCHO
CHIYODA-KU, TOKYO",Manjushoji ,Size 52.95 m²,Floor 10 / 12F,Year Built 2013,Suidoubashi Station (3 min. walk),"Monthly Costs ¥325,000 negotiable"
33,3DK APARTMENT,"IN YASHIO
SHINAGAWA-KU, TOKYO","Village House Management Co.,Ltd.",Size 61.62 m²,Floor 7 / 14F,Year Built 1984,Shinagawa Seaside Station (11 min. walk),"Monthly Costs ¥124,000"
34,1LDK APARTMENT,"IN ARAKICHO
SHINJUKU-KU, TOKYO",PIPI Hosting,Size 63.00 m²,Floor 4 / 5F,Year Built 1998,Akebonobashi Station (3 min. walk),"Monthly Costs ¥250,000 negotiable"
35,1R APARTMENT,"IN NAKANO
NAKANO-KU, TOKYO","MINAMIAOYAMA REAL ESTATE Co., Ltd",Size 10.02 m²,Floor 2 / 2F,Year Built 2006,Higashi Koenji Station (9 min. walk),"Monthly Costs ¥60,000"
36,1DK APARTMENT,"IN SUGAMO
TOSHIMA-KU, TOKYO","MINAMIAOYAMA REAL ESTATE Co., Ltd",Size 16.73 m²,Floor 3 / 4F,Year Built 1984,Sugamo Station (6 min. walk),"Monthly Costs ¥70,000"
37,1R APARTMENT,"IN KITAZAWA
SETAGAYA-KU, TOKYO","MINAMIAOYAMA REAL ESTATE Co., Ltd",Size 16.50 m²,Floor 3 / 4F,Year Built 1987,?,"Monthly Costs ¥70,000"
38,1K SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 29.10 m²,Floor 16 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥258,000"
39,1K SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 29.10 m²,Floor 3 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥258,000"
40,1K SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 33.32 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥291,000"
41,2LDK SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 70.40 m²,Floor 11 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥588,000"
42,1K SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 32.60 m²,Floor 17 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥309,000"
43,2LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 71.03 m²,Floor 26 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥675,000"
44,1K SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 26.70 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥234,000"
45,1LDK SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 51.60 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥510,000"
46,1LDK SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 34.60 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥336,000"
47,2LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 65.91 m²,Floor 25 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥645,000"
48,1LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 40.10 m²,Floor 17 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥357,000"
49,2LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 67.04 m²,Floor 25 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥630,000"
50,1LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 36.50 m²,Floor 16 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥294,000"
51,1K APARTMENT,"IN HIGASHIASAKUSA
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 21.41 m²,Floor 1 / 2F,Year Built 2013,Minamisenju Station (14 min. walk),"Monthly Costs ¥86,050"
52,2LDK APARTMENT,"IN SARUGAKUCHO
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 67.11 m²,Floor 3 / 8F,Year Built 2006,Daikanyama Station (7 min. walk),"Monthly Costs ¥334,000"
53,2DK APARTMENT,"IN MEJIRO
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 48.06 m²,Floor 1 / 3F,Year Built 1997,Shiina Machi Station (5 min. walk),"Monthly Costs ¥115,000"
54,4LDK APARTMENT,"IN KOYAMADAI
SHINAGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 90.41 m²,Floor 4 / 4F,Year Built 1990,Musashi Koyama Station (8 min. walk),"Monthly Costs ¥260,000"
55,1R APARTMENT,"IN NAKANO
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 13.02 m²,Floor 2 / 2F,Year Built 2007,Ochiai Station (10 min. walk),"Monthly Costs ¥62,000"
56,1R APARTMENT,"IN MARUYAMACHO
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 16.81 m²,Floor 3 / 11F,Year Built 1997,Shinsen Station (4 min. walk),"Monthly Costs ¥86,000"
57,1R APARTMENT,"IN NAKAMAGOME
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.72 m²,Floor 4 / 4F,Year Built 1991,Magome Station (7 min. walk),"Monthly Costs ¥67,000"
58,1K APARTMENT,"IN KAMEARI
KATSUSHIKA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.46 m²,Floor 4 / 6F,Year Built 1994,Kameari Station (10 min. walk),"Monthly Costs ¥56,000"
59,1K APARTMENT,"IN SHIMANE
ADACHI-KU, TOKYO","Aonissin Co.,ltd.",Size 25.37 m²,Floor 1 / 2F,Year Built 2017,Umejima Station (17 min. walk),"Monthly Costs ¥68,550"
60,1K APARTMENT,"IN EBARA
SHINAGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.00 m²,Floor 2 / 2F,Year Built 1989,Nishikoyama Station (8 min. walk),"Monthly Costs ¥60,000"
61,1K APARTMENT,"IN TSUKIJI
CHUO-KU, TOKYO","Aonissin Co.,ltd.",Size 21.20 m²,Floor 8 / 8F,Year Built 1982,Tsukiji Station (7 min. walk),"Monthly Costs ¥80,000"
62,3LDK APARTMENT,"IN NAKAMEGURO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 82.09 m²,Floor 5 / 5F,Year Built 2008,Nakameguro Station (10 min. walk),"Monthly Costs ¥385,000"
63,1K APARTMENT,"IN SHINJUKU
SHINJUKU-KU, TOKYO",World Potential Corporation,Size 23.00 m²,Floor 2 / 4F,Year Built 2016,Higashi-Shinjuku Station (8 min. walk),"Monthly Costs ¥176,100"
64,1K APARTMENT,"IN EBISUMINAMI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 22.00 m²,Floor 1 / 3F,Year Built 1992,Ebisu Station (5 min. walk),"Monthly Costs ¥89,000"
65,2DK APARTMENT,"IN MIZUE
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 44.62 m²,Floor 2 / 3F,Year Built 1990,Mizue Station (10 min. walk),"Monthly Costs ¥84,000"
66,1R APARTMENT,"IN KOJIMACHI
CHIYODA-KU, TOKYO","Aonissin Co.,ltd.",Size 15.32 m²,Floor 8 / 10F,Year Built 1977,Hanzomon Station (1 min. walk),"Monthly Costs ¥74,000"
67,1K APARTMENT,"IN TAKAMATSU
NERIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.81 m²,Floor 1 / 3F,Year Built 2010,Hikarigaoka Station (10 min. walk),"Monthly Costs ¥74,050"
68,3LDK APARTMENT,"IN KAMIIKEDAI
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 72.00 m²,Floor 6 / 7F,Year Built 1989,Nagahara Station (3 min. walk),"Monthly Costs ¥252,000"
69,1K APARTMENT,"IN KAMISOSHIGAYA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 26.27 m²,Floor 2 / 2F,Year Built 2018,Sengawa Station (19 min. walk),"Monthly Costs ¥86,550"
70,1LDK APARTMENT,"IN NAKAZATO
KITA-KU, TOKYO","Aonissin Co.,ltd.",Size 27.34 m²,Floor 1 / 3F,Year Built 1974,Kaminakazato Station (8 min. walk),"Monthly Costs ¥78,000"
71,1R APARTMENT,"IN NAKAOCHIAI
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 19.24 m²,Floor 2 / 2F,Year Built 2004,Shimoochiai Station (8 min. walk),"Monthly Costs ¥78,000"
72,2DK APARTMENT,"IN GOTOKUJI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 35.00 m²,Floor 1 / 2F,Year Built 1995,Miyanosaka Station (5 min. walk),"Monthly Costs ¥104,000"
73,2DK APARTMENT,"IN MATSUGAYA
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 49.00 m²,Floor 3 / 4F,Year Built 1994,Inaricho Station (8 min. walk),"Monthly Costs ¥130,000"
74,1K APARTMENT,"IN KAMITAKAIDO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 18.20 m²,Floor 1 / 7F,Year Built 1991,Hachimanyama Station (10 min. walk),"Monthly Costs ¥59,000"
75,1K APARTMENT,"IN HIGASHIIKEBUKURO
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.46 m²,Floor 1 / 3F,Year Built 1997,Higashiikebukuro Station (10 min. walk),"Monthly Costs ¥71,000"
76,1K APARTMENT,"IN DENENCHOFU
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 14.61 m²,Floor 2 / 2F,Year Built 1991,Tamagawa Station (13 min. walk),"Monthly Costs ¥66,550"
77,1R APARTMENT,"IN YOGA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 30.25 m²,Floor 2 / 2F,Year Built 1987,Youga Station (6 min. walk),"Monthly Costs ¥72,000"
78,1R APARTMENT,"IN TSURUMAKI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.00 m²,Floor 3 / 4F,Year Built 1995,Sakurashinmachi Station (10 min. walk),"Monthly Costs ¥72,000"
79,1R APARTMENT,"IN NISHIKOJIYA
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 25.75 m²,Floor 5 / 5F,Year Built 1991,Koujiya Station (5 min. walk),"Monthly Costs ¥64,000"
80,1R APARTMENT,"IN DENENCHOFU
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 17.23 m²,Floor 2 / 3F,Year Built 1994,Numabe Station (7 min. walk),"Monthly Costs ¥57,000"
81,1LDK APARTMENT,"IN HYAKUNINCHO
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 53.06 m²,Floor 10 / 22F,Year Built 1992,Okubo Station (3 min. walk),"Monthly Costs ¥180,000"
82,1K APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 39.87 m²,Floor 3 / 4F,Year Built 2008,Shin Mikawashima Station (5 min. walk),"Monthly Costs ¥132,550"
83,1LDK APARTMENT,"IN HIRAI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 38.31 m²,Floor 4 / 5F,Year Built 2012,Hirai Station (9 min. walk),"Monthly Costs ¥131,000"
84,1K APARTMENT,"IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 17.62 m²,Floor 2 / 5F,Year Built 2002,Waseda Station (6 min. walk),"Monthly Costs ¥78,000"
85,1R APARTMENT,"IN NAKAMAGOME
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.72 m²,Floor 4 / 4F,Year Built 1991,Magome Station (7 min. walk),"Monthly Costs ¥67,000"
86,1K APARTMENT,"IN RYOGOKU
SUMIDA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.00 m²,Floor 4 / 9F,Year Built 1988,Ryogoku Station (2 min. walk),"Monthly Costs ¥75,000"
87,2LDK APARTMENT,"IN HIGASHISHINBASHI
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 81.29 m²,Floor 10 / 11F,Year Built 2002,Shiodome Station (5 min. walk),"Monthly Costs ¥349,000"
88,3DK APARTMENT,"IN KITAKOIWA
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 45.89 m²,Floor 2 / 2F,Year Built 1984,Keiseikoiwa Station (10 min. walk),"Monthly Costs ¥71,000"
89,1K APARTMENT,"IN OYAGUCHI
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 25.17 m²,Floor 2 / 2F,Year Built 2018,Senkawa Station (15 min. walk),"Monthly Costs ¥90,550"
90,3DK APARTMENT,"IN IKEBUKURO (2-4-CHOME)
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 49.75 m²,Floor 12 / 12F,Year Built 1984,Ikebukuro Station (7 min. walk),"Monthly Costs ¥166,000"
91,1R APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 15.08 m²,Floor 2 / 14F,Year Built 1985,Nishishinjuku Go Choume Station (12 min. walk),"Monthly Costs ¥60,000"
92,1R APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 15.08 m²,Floor 3 / 14F,Year Built 1985,Nishishinjuku Go Choume Station (4 min. walk),"Monthly Costs ¥58,000"
93,1R APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 12.00 m²,Floor 3 / 3F,Year Built 2011,Mikawashima Station (10 min. walk),"Monthly Costs ¥58,000"
94,1R APARTMENT,"IN KAMIMEGURO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 25.00 m²,Floor 2 / 5F,Year Built 1990,Nakameguro Station (3 min. walk),"Monthly Costs ¥90,000"
95,2LDK APARTMENT,"IN TABATA
KITA-KU, TOKYO","Aonissin Co.,ltd.",Size 55.89 m²,Floor 10 / 11F,Year Built 2021,Komagome Station (5 min. walk),"Monthly Costs ¥242,500"
96,1K APARTMENT,"IN OYAMA HIGASHICHO
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 19.00 m²,Floor 2 / 2F,Year Built 1966,Oyama Station (1 min. walk),"Monthly Costs ¥55,000"
97,1K APARTMENT,"IN NISHIWASEDA(SONOTA)
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 22.59 m²,Floor 2 / 2F,Year Built 2012,Nishiwaseda Station (5 min. walk),"Monthly Costs ¥99,550"
98,2DK APARTMENT,"IN KOMONE
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 39.70 m²,Floor 1 / 2F,Year Built 1995,Kotakemukaihara Station (13 min. walk),"Monthly Costs ¥87,000"
99,1R APARTMENT,"IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO","Aonissin Co.,ltd.",Size 15.83 m²,Floor 1 / 5F,Year Built 1983,Hakusan Station (10 min. walk),"Monthly Costs ¥55,000"
100,1K APARTMENT,"IN KAMISHINOZAKI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.16 m²,Floor 2 / 2F,Year Built 2019,Shinozaki Station (15 min. walk),"Monthly Costs ¥69,550"
101,2LDK APARTMENT,"IN MATSUGAYA
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 53.79 m²,Floor 4 / 10F,Year Built 1990,Asakusa Station (6 min. walk),"Monthly Costs ¥170,000"
102,1R APARTMENT,"IN NISHISHINJUKU
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 15.93 m²,Floor 7 / 11F,Year Built 1985,Nishi-shinjuku Station (6 min. walk),"Monthly Costs ¥65,000"
103,1K APARTMENT,"IN HIRAI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 21.00 m²,Floor 1 / 2F,Year Built 1979,Hirai Station (15 min. walk),"Monthly Costs ¥54,000"
104,2DK APARTMENT,"IN HANEGI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 40.00 m²,Floor 3 / 3F,Year Built 1975,Shindaita Station (3 min. walk),"Monthly Costs ¥98,000"
105,1R APARTMENT,"IN HONCHO
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 15.23 m²,Floor 3 / 4F,Year Built 1989,Shinnakano Station (9 min. walk),"Monthly Costs ¥57,000"
106,3LDK APARTMENT,"IN NISHIKASAI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 61.60 m²,Floor 9 / 11F,Year Built 1989,Nishikasai Station (2 min. walk),"Monthly Costs ¥127,000"
107,1R APARTMENT,"IN SHINJUKU
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 30.30 m²,Floor 7 / 14F,Year Built 2003,Shinjuku Gyoen Mae Station (5 min. walk),"Monthly Costs ¥122,000"
108,1K APARTMENT,"IN HIGASHISUMIDA
SUMIDA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 3F,Year Built 2009,Yahiro Station (9 min. walk),"Monthly Costs ¥73,550"
109,1R APARTMENT,"IN FUTABACHO
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 27.32 m²,Floor 2 / 3F,Year Built 2015,Nakaitabashi Station (5 min. walk),"Monthly Costs ¥84,550"
110,1K APARTMENT,"IN KOMABA
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 2 / 2F,Year Built 2000,Komaba Toudai Mae Station (6 min. walk),"Monthly Costs ¥90,550"
111,1R APARTMENT,"IN HIGASHITAMAGAWA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 16.22 m²,Floor 1 / 5F,Year Built 1985,Denenchoufu Station (5 min. walk),"Monthly Costs ¥58,000"
112,1R APARTMENT,"IN NAKAMEGURO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 18.62 m²,Floor 8 / 9F,Year Built 1984,Nakameguro Station (6 min. walk),"Monthly Costs ¥87,000"
113,1R APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 30.00 m²,Floor 3 / 8F,Year Built 1980,Roppongi-itchome Station (2 min. walk),"Monthly Costs ¥93,000"
114,3LDK HOUSE,"IN MINAMIDAI
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 69.56 m²,Year Built 2020,Nearest Station Tamachi Station (5 min. walk),?,"Monthly Costs ¥210,000"
115,1K APARTMENT,"IN KINUTA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.50 m²,Floor 2 / 3F,Year Built 1988,Soshigaya Okura Station (9 min. walk),"Monthly Costs ¥63,000"
116,1DK APARTMENT,"IN KITAMAGOME
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 24.00 m²,Floor 1 / 5F,Year Built 1976,Magome Station (1 min. walk),"Monthly Costs ¥78,000"
117,1K APARTMENT,"IN SENJU
ADACHI-KU, TOKYO","Aonissin Co.,ltd.",Size 22.31 m²,Floor 6 / 6F,Year Built 1992,Kitasenju Station (8 min. walk),"Monthly Costs ¥70,000"
118,2DK APARTMENT,"IN NISHIKASAI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 41.62 m²,Floor 2 / 4F,Year Built 1988,Nishikasai Station (10 min. walk),"Monthly Costs ¥80,000"
119,3LDK APARTMENT,"IN HARAMACHI
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 67.60 m²,Floor 4 / 5F,Year Built 1995,Ushigome Yanagicho Station (5 min. walk),"Monthly Costs ¥230,000"
120,1R APARTMENT,"IN HONAN
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 16.00 m²,Floor 2 / 2F,Year Built 1976,Hounanchou Station (8 min. walk),"Monthly Costs ¥50,000"
